,Analyst_Name,Username,Roles,Join_date,Confidence,Error,Accuracy_Percentile,Points,Points_Estimate,Stocks,Pending_Estimates
0,Analyst_2628177,Analyst_2628177,Non Professional,Mar 2019,7.2,-,-,-,-,-,0
1,loopie,loopie,Non Professional,Jul 2015,8.1,13.5%,58%,194,11.4,17,0
2,rsreina,rsreina,Non Professional,Oct 2014,7.9,10.5%,57%,291,14.6,20,21
3,Analyst_1468046,Analyst_1468046, ,Feb 2016,7.8,-,-,-,-,-,0
4,Petr,Filousik,Non Professional,May 2013,4.6,-,-,-,-,-,0
5,Analyst_7077679,Analyst_7077679,Financial Professional,Nov 2018,7.2,-,-,-,-,-,0
6,cms574,cms574,Non Professional,Feb 2020,7.1,-,-,-,-,-,0
7,Analyst_9443238,Analyst_9443238,Non Professional,Feb 2019,7.1,-,-,-,-,-,0
8,Analyst_2299911,Analyst_2299911,Non Professional,Jul 2018,5.4,-,-,-,-,-,0
9,zip159,zip159,Non Professional,Nov 2015,7.1,-,-,-,-,-,0
10,Analyst_76071,Analyst_76071, ,Feb 2016,8.3,3.2%,78%,-2,-2,1,0
11,robert brand,rbrandx,Non Professional,May 2013,8.6,14.4%,61%,"1,220",14.2,86,5
12,Analyst_2818898,Analyst_2818898, ,Feb 2020,7.2,-,-,-,-,-,0
13,Analyst_9351012,Analyst_9351012,Non Professional,Jul 2017,7.2,-,-,-,-,-,0
14,Analyst_5998654,Analyst_5998654,Non Professional,Feb 2020,6.9,-,-,-,-,-,0
15,lect,lect,Non Professional,Jun 2019,7.1,-,-,-,-,-,0
16,Buck_106696,Buck_106696,Financial Professional,Jul 2017,4.0,-,-,-,-,-,0
17,Analyst_6593974,Analyst_6593974, ,Feb 2020,7.5,-,-,-,-,-,0
18,SW928706,SW928706,Financial Professional,Dec 2015,4.5,-,-,-,-,-,0
19,Analyst_3020600,Analyst_3020600, ,Jan 2020,6.9,-,-,-,-,-,0
20,mattstockpicker,mattstockpicker,Financial Professional,Nov 2019,6.3,-,-,-,-,-,0
