,Analyst,Ticker,Reports,Published Data,EPS,Revenue
0,rsreina,C,"Jan 14, 2022 BMO","Nov 25, 2021",1.88,"17,250"
1,rsreina,ASML,"Jan 19, 2022 BMO","Dec 7, 2021",4.41,"5,995"
2,rsreina,STLD,"Jan 24, 2022 AMC","Dec 8, 2021",5.61,"5,350"
3,rsreina,IBM,"Jan 24, 2022 AMC","Dec 7, 2021",3.46,"18,450"
4,rsreina,ABT,"Jan 26, 2022 BMO","Dec 5, 2021",1.38,"10,750"
5,rsreina,VRTX,"Feb 2, 2022 AMC","Dec 8, 2021",3.32,"2,010"
6,rsreina,QCOM,"Feb 2, 2022 AMC","Dec 7, 2021",3.10,"10,550"
7,rsreina,FNF,"Feb 2, 2022 AMC","Dec 7, 2021",1.66,"3,300"
8,rsreina,MRK,"Feb 3, 2022 BMO","Dec 5, 2021",1.60,"13,300"
9,rsreina,CI,"Feb 3, 2022 BMO","Dec 5, 2021",4.73,"44,000"
10,rsreina,DD,"Feb 3, 2022 BMO","Dec 5, 2021",0.98,"4,000"
11,rsreina,AMZN,"Feb 3, 2022 AMC","Dec 7, 2021",3.82,"138,000"
12,rsreina,AQUA,"Feb 8, 2022 BMO","Dec 1, 2021",0.11,360.00
13,rsreina,FISV,"Feb 9, 2022 BMO","Dec 5, 2021",1.58,"4,075"
14,rsreina,SONO,"Feb 9, 2022 AMC","Dec 5, 2021",0.92,655.00
15,rsreina,ATVI,"Feb 10, 2022 AMC","Dec 7, 2021",1.38,"2,855"
16,rsreina,TWTR,"Feb 10, 2022 AMC","Dec 6, 2021",0.36,"1,600"
17,rsreina,ED,"Feb 17, 2022 AMC","Dec 8, 2021",0.85,"2,800"
18,rsreina,THRM,"Feb 22, 2022 BMO","Nov 29, 2021",0.38,240.00
19,rsreina,AWK,"Feb 22, 2022 AMC","Dec 5, 2021",0.85,940.00
20,rsreina,NEM,"Feb 24, 2022 BMO","Dec 8, 2021",0.77,"3,350"
21,robert brand,CIEN,"Dec 9, 2021 BMO","Dec 8, 2021",0.96,"1,050"
22,robert brand,AVGO,"Dec 9, 2021 AMC","Dec 8, 2021",7.84,"7,388"
23,robert brand,COST,"Dec 9, 2021 AMC","Dec 8, 2021",2.78,"51,000"
24,robert brand,LULU,"Dec 9, 2021 AMC","Dec 8, 2021",1.58,"1,490"
25,robert brand,MGA,"Feb 25, 2022 BMO","Nov 5, 2021",1.20,"9,600"
26,BR604079,TTC,"Dec 15, 2021 BMO","Sep 24, 2021 75 days ago",0.52,957.10
27,BR604079,WGO,"Dec 17, 2021 BMO","Oct 27, 2021",2.40,"1,046"
28,BR604079,HZO,"Jan 26, 2022 BMO","Oct 27, 2021",1.20,445.10
29,BR604079,BC,"Jan 27, 2022 BMO","Oct 22, 2021 47 days ago",1.30,
30,BR604079,HOG,"Feb 1, 2022 BMO","Oct 28, 2021 41 days ago",-0.27,722.10
31,BR604079,PII,"Feb 1, 2022 BMO","Oct 27, 2021 42 days ago",2.02,"2,359"
32,BR604079,TTC,"Feb 24, 2022 BMO","Sep 24, 2021 75 days ago",0.80,"1,056"
33,BR604079,THO,"Mar 7, 2022 BMO","Oct 4, 2021 66 days ago",2.90,"3,387"
34,BR604079,CWH,"Mar 10, 2022 AMC","Nov 4, 2021",0.81,"1,258"
35,BR604079,WGO,"Mar 23, 2022 BMO","Oct 27, 2021",2.40,"1,092"
36,BR604079,HZO,"Apr 28, 2022 BMO","Oct 27, 2021",1.75,524.60
37,BR604079,TTC,"May 26, 2022 BMO","Sep 24, 2021 75 days ago",1.25,"1,391"
38,BR604079,THO,"Jun 6, 2022 BMO","Oct 4, 2021 66 days ago",3.45,"3,864"
39,BR604079,WGO,"Jun 22, 2022 BMO","Oct 27, 2021",2.50,"1,098"
40,BR604079,HZO,"Jul 28, 2022 BMO","Oct 27, 2021",3.00,746.60
41,BR604079,TTC,"Aug 25, 2022 BMO","Sep 24, 2021 75 days ago",1.05,"1,074"
42,BR604079,THO,"Sep 27, 2022 BMO","Oct 4, 2021 66 days ago",3.50,"3,870"
43,BR604079,WGO,"Oct 19, 2022 BMO","Oct 27, 2021",2.50,"1,112"
44,BR604079,HZO,"Nov 1, 2022 BMO","Oct 27, 2021",1.45,531.40
45,BR604079,TTC,"Dec 8, 2022 BMO","Sep 24, 2021 75 days ago",0.60,"1,003"
46,NR802552,SYK,"Jan 25, 2022 AMC","Mar 5, 2020 643 days ago",3.04,"4,741"
47,NR802552,ZBH,"Feb 1, 2022 BMO","Mar 5, 2020 643 days ago",2.57,"2,255"
48,NR802552,ALGN,"Feb 3, 2022 AMC","Mar 5, 2020 643 days ago",2.72,
49,NR802552,ITGR,"Feb 24, 2022 BMO","Mar 5, 2020 643 days ago",1.51,348.10
