,Analysts,Ticker,Quarter,Reported,Rank,EPS_Points,Revenue_Points,Total_Points
0,Analyst_2628177,HIBB,Q4 2019,"Mar 22, 2019",6 / 35,10,17,27
1,loopie,MSGS,Q1 2022,"Nov 10, 2021",2 / 11,24,-2,22
2,loopie,PYPL,Q3 2021,"Nov 8, 2021",5 / 111,25,-2,23
3,loopie,ROKU,Q3 2021,"Nov 3, 2021",41 / 68,8,-2,6
4,loopie,ANET,Q3 2021,"Nov 1, 2021",4 / 28,11,22,33
5,loopie,NXPI,Q3 2021,"Nov 1, 2021",2 / 31,24,23,47
6,loopie,RCL,Q3 2021,"Oct 29, 2021",7 / 20,-2,-1,-3
7,loopie,AMZN,Q3 2021,"Oct 28, 2021",70 / 210,-2,-1,-3
8,loopie,SKYW,Q3 2021,"Oct 28, 2021",7 / 9,8,9,17
9,loopie,AAPL,Q4 2021,"Oct 28, 2021",122 / 324,-2,-2,-4
10,loopie,WOLF,Q1 2022,"Oct 27, 2021",17 / 20,7,7,14
11,loopie,FFIV,Q4 2021,"Oct 26, 2021",16 / 23,9,10,19
12,loopie,FB,Q3 2021,"Oct 25, 2021",118 / 185,-3,-3,-6
13,loopie,INTC,Q3 2021,"Oct 21, 2021",41 / 120,8,-1,7
14,loopie,IPG,Q3 2021,"Oct 21, 2021",7 / 9,7,5,12
15,loopie,IBM,Q3 2021,"Oct 20, 2021",34 / 68,-1,-3,-4
16,loopie,OMC,Q3 2021,"Oct 19, 2021",10 / 15,6,-1,5
17,loopie,NFLX,Q3 2021,"Oct 19, 2021",23 / 144,10,-1,9
18,loopie,TCOM,Q2 2021,"Sep 23, 2021",3 / 18,15,20,35
19,loopie,BB,Q2 2022,"Sep 22, 2021",13 / 37,16,11,27
20,loopie,ADBE,Q3 2021,"Sep 21, 2021",30 / 81,17,13,30
21,loopie,ORCL,Q1 2022,"Sep 13, 2021",4 / 48,25,-4,21
22,loopie,GOLD,Q2 2021,"Aug 9, 2021",1 / 29,25,-1,24
23,loopie,CHH,Q2 2021,"Aug 5, 2021",13 / 13,-5,-9,-14
24,loopie,MAR,Q2 2021,"Aug 3, 2021",5 / 17,-4,22,18
25,loopie,SU,Q2 2021,"Jul 28, 2021",12 / 18,-1,8,7
26,rsreina,SONO,Q4 2021,"Nov 17, 2021",16 / 25,-2,-6,-8
27,rsreina,IIVI,Q1 2022,"Nov 9, 2021",6 / 8,-4,-4,-8
28,rsreina,DBX,Q3 2021,"Nov 4, 2021",9 / 20,-2,18,16
29,rsreina,ED,Q3 2021,"Nov 4, 2021",3 / 3,-4,9,5
30,rsreina,CI,Q3 2021,"Nov 4, 2021",3 / 9,10,10,20
31,rsreina,CVS,Q3 2021,"Nov 3, 2021",5 / 35,17,12,29
32,rsreina,AWK,Q3 2021,"Nov 2, 2021",7 / 9,-6,8,2
33,rsreina,FNF,Q3 2021,"Nov 2, 2021",3 / 8,12,9,21
34,rsreina,AMGN,Q3 2021,"Nov 2, 2021",2 / 28,10,23,33
35,rsreina,ATVI,Q3 2021,"Nov 2, 2021",28 / 48,-2,-4,-6
36,rsreina,GPN,Q3 2021,"Nov 2, 2021",2 / 15,21,20,41
37,rsreina,DD,Q3 2021,"Nov 2, 2021",4 / 6,17,15,32
38,rsreina,AMZN,Q3 2021,"Oct 28, 2021",112 / 210,-3,-2,-5
39,rsreina,CMCSA,Q3 2021,"Oct 28, 2021",10 / 25,13,15,28
40,rsreina,MRK,Q3 2021,"Oct 28, 2021",14 / 27,9,9,18
41,rsreina,NEM,Q3 2021,"Oct 28, 2021",6 / 8,-3,-3,-6
42,rsreina,FCX,Q3 2021,"Oct 21, 2021",9 / 17,12,-4,8
43,rsreina,ASML,Q3 2021,"Oct 20, 2021",10 / 26,13,-3,10
44,rsreina,ABT,Q3 2021,"Oct 20, 2021",12 / 23,9,9,18
45,rsreina,STLD,Q3 2021,"Oct 18, 2021",4 / 7,23,20,43
46,rsreina,AWK,Q4 2020,"Feb 24, 2021",4 / 8,-2,7,5
47,rsreina,FNF,Q4 2020,"Feb 24, 2021",3 / 9,11,11,22
48,rsreina,NEM,Q4 2020,"Feb 18, 2021",5 / 8,12,-3,9
49,rsreina,PNW,Q3 2020,"Oct 30, 2020",5 / 5,-8,-11,-19
50,rsreina,MRK,Q3 2020,"Oct 27, 2020",7 / 24,10,14,24
51,Analyst_1468046,GOOGL,Q1 2021,"Apr 27, 2021",60 / 195,14,9,23
52,Analyst_1468046,TSLA,Q1 2021,"Apr 26, 2021",307 / 382,-5,-4,-9
53,Analyst_1468046,HPQ,Q4 2020,"Nov 24, 2020",1 / 31,22,18,40
54,Analyst_1468046,HPQ,Q3 2020,"Aug 27, 2020",30 / 33,9,-6,3
55,Analyst_1468046,DIS,Q3 2020,"Aug 4, 2020",10 / 129,9,19,28
56,Analyst_1468046,AMZN,Q2 2020,"Jul 30, 2020",115 / 392,9,10,19
57,Analyst_1468046,FB,Q2 2020,"Jul 30, 2020",95 / 302,9,11,20
58,Analyst_1468046,EXPE,Q2 2020,"Jul 30, 2020",31 / 38,-3,-1,-4
59,Analyst_1468046,GOOGL,Q2 2020,"Jul 30, 2020",14 / 265,12,23,35
60,Analyst_1468046,AAPL,Q3 2020,"Jul 30, 2020",355 / 408,-5,-4,-9
61,Analyst_1468046,XRX,Q2 2020,"Jul 28, 2020",9 / 15,7,-1,6
62,Analyst_1468046,INTC,Q2 2020,"Jul 23, 2020",82 / 155,10,9,19
63,Analyst_1468046,TWTR,Q2 2020,"Jul 23, 2020",95 / 125,-4,-2,-6
64,Analyst_1468046,MSFT,Q4 2020,"Jul 22, 2020",287 / 363,13,-5,8
65,Analyst_1468046,CMG,Q2 2020,"Jul 22, 2020",36 / 76,-1,-1,-2
66,Analyst_1468046,TSLA,Q2 2020,"Jul 22, 2020",229 / 636,9,10,19
67,Analyst_1468046,IBM,Q2 2020,"Jul 20, 2020",93 / 105,-3,-6,-9
68,Analyst_1468046,NFLX,Q2 2020,"Jul 16, 2020",65 / 254,-7,24,17
69,Analyst_1468046,BAC,Q2 2020,"Jul 16, 2020",21 / 73,14,12,26
70,Analyst_1468046,ZM,Q1 2021,"Jun 2, 2020",42 / 126,10,9,19
71,Analyst_1468046,COST,Q3 2020,"May 28, 2020",53 / 79,9,-3,6
72,Analyst_1468046,HPQ,Q2 2020,"May 27, 2020",7 / 41,10,16,26
73,Analyst_1468046,BBY,Q1 2021,"May 21, 2020",16 / 25,-4,-5,-9
74,Analyst_1468046,ROKU,Q1 2020,"May 7, 2020",70 / 107,-15,17,2
75,Analyst_1468046,ZG,Q1 2020,"May 7, 2020",30 / 44,-18,20,2
76,Petr,HAL,Q2 2020,"Jul 20, 2020",33 / 42,21,-20,1
77,Petr,ATVI,Q1 2020,"May 5, 2020",32 / 89,10,9,19
78,Petr,WETF,Q1 2020,"May 1, 2020",7 / 8,15,-20,-5
79,Petr,TSLA,Q1 2020,"Apr 29, 2020",451 / 506,-8,-1,-9
80,Petr,BBWI,Q4 2019,"Feb 26, 2020",10 / 22,-2,-1,-3
81,Petr,BRK-B,Q4 2019,"Feb 22, 2020",4 / 28,-3,20,17
82,Petr,ZEN,Q4 2019,"Feb 6, 2020",15 / 35,-6,17,11
83,Petr,IRBT,Q4 2019,"Feb 5, 2020",24 / 48,9,12,21
84,Petr,GILD,Q4 2019,"Feb 4, 2020",23 / 65,-3,12,9
