,Analysts,Ticker,Report,Quarters,Points,Points_Estimate,Estimate_rate,Accuracy
0,Analyst_2628177,HIBB,Mar 11,1,27,27,16.9%,71%
1,loopie,NFLX,Jan 18,17,303,17.8,10.7%,66%
2,loopie,GOOGL,Feb 2,16,257,16.1,7.7%,56%
3,loopie,BIDU,Feb 24,16,262,16.4,13.1%,53%
4,loopie,AMZN,Feb 3,16,208,13,26.9%,59%
5,loopie,AAPL,Feb 1,16,214,13.4,4.1%,62%
6,loopie,FB,Feb 2,15,232,15.5,6.4%,55%
7,loopie,FFIV,Jan 26,14,214,15.3,2.7%,57%
8,loopie,ORCL,Dec 9,14,298,21.3,2.4%,67%
9,loopie,IBM,Jan 24,14,222,15.9,1.8%,62%
10,loopie,MSFT,Jan 27,14,226,16.1,5.6%,51%
11,loopie,CRM,Mar 1,13,329,25.3,7.6%,58%
12,loopie,BKNG,Mar 2,12,172,14.3,7.6%,54%
13,loopie,DDD,Mar 2,12,165,13.8,32.9%,61%
14,loopie,EA,Feb 1,12,210,17.5,11.9%,57%
15,loopie,TXN,Jan 26,12,160,13.3,6.9%,47%
16,loopie,VMW,Feb 24,11,178,16.2,5.6%,48%
17,loopie,TTWO,Feb 9,11,195,17.7,17.2%,61%
18,loopie,PYPL,Feb 2,11,260,23.6,3.0%,67%
19,loopie,ILMN,Feb 1,11,208,18.9,5.5%,62%
20,loopie,PANW,Mar 1,11,194,17.6,5.3%,52%
21,loopie,ADBE,Dec 16,11,216,19.6,3.0%,57%
22,loopie,HPQ,Feb 23,11,181,16.5,4.4%,56%
23,loopie,AVGO,Dec 9,11,231,21,1.6%,60%
24,loopie,INTC,Jan 26,10,153,15.3,8.5%,56%
25,loopie,TCOM,Dec 15,10,151,15.1,24.2%,55%
26,loopie,BB,Dec 16,10,147,14.7,31.8%,60%
27,loopie,WOLF,Jan 25,10,225,22.5,7.4%,59%
28,loopie,SBUX,Jan 27,10,38,3.8,3.2%,59%
29,loopie,BOX,Mar 2,10,212,21.2,11.0%,61%
30,loopie,CSCO,Feb 16,10,253,25.3,1.3%,66%
31,rsreina,AWK,Feb 22,25,257,10.3,3.0%,51%
32,rsreina,CMCSA,Jan 27,24,253,10.5,2.6%,53%
33,rsreina,T,Jan 26,23,382,16.7,2.1%,65%
34,rsreina,V,Feb 3,23,411,17.9,2.8%,57%
35,rsreina,CVS,Feb 9,19,240,12.6,1.6%,52%
36,rsreina,INTC,Jan 26,19,327,17.2,5.3%,60%
37,rsreina,CTSH,Feb 9,19,220,11.6,2.5%,50%
38,rsreina,AMGN,Feb 3,18,359,19.9,4.0%,58%
39,rsreina,MCHP,Feb 8,17,289,17,2.9%,57%
40,rsreina,UNP,Jan 27,17,219,12.9,3.0%,55%
41,rsreina,MHK,Feb 10,17,230,13.5,2.2%,55%
42,rsreina,JNJ,Jan 25,16,253,15.8,1.7%,59%
43,rsreina,ABT,Jan 26,16,283,17.7,2.5%,62%
44,rsreina,ICE,Feb 10,16,48,3,1.5%,47%
45,rsreina,DIS,Feb 8,15,191,12.7,5.0%,57%
46,rsreina,SPGI,Feb 8,15,196,13.1,4.2%,55%
47,rsreina,PFE,Feb 1,15,176,11.7,2.3%,59%
48,rsreina,LUV,Jan 27,15,218,14.5,1.9%,62%
49,rsreina,IP,Jan 27,14,276,19.7,3.5%,60%
50,rsreina,DHI,Jan 25,14,225,16.1,4.2%,63%
51,rsreina,DY,Mar 2,13,160,12.3,7.9%,55%
52,rsreina,BSX,Feb 3,13,175,13.5,2.5%,62%
53,rsreina,MS,Jan 20,13,185,14.2,11.1%,56%
54,rsreina,LH,Feb 17,13,212,16.4,1.6%,57%
55,rsreina,LEA,Jan 27,13,38,2.9,4.5%,46%
56,rsreina,AAPL,Feb 1,13,186,14.3,2.1%,63%
57,rsreina,UFPI,Feb 16,12,117,9.8,8.7%,55%
58,rsreina,COST,Dec 9,12,129,10.8,2.8%,60%
59,rsreina,DLTR,Mar 2,12,107,8.9,3.3%,62%
60,rsreina,APD,Jan 28,12,81,6.8,2.2%,52%
61,Analyst_1468046,HPQ,Feb 23,19,311,16.4,3.6%,63%
62,Analyst_1468046,FB,Feb 2,14,173,12.4,6.8%,50%
63,Analyst_1468046,NFLX,Jan 18,14,149,10.6,13.5%,61%
64,Analyst_1468046,GOOGL,Feb 2,13,240,17.8,5.1%,71%
65,Analyst_1468046,AAPL,Feb 1,12,197,16.4,3.5%,62%
66,Analyst_1468046,INTC,Jan 26,12,206,17.2,6.2%,56%
67,Analyst_1468046,TSLA,Feb 2,12,105,8.8,33.0%,60%
68,Analyst_1468046,CMG,Feb 8,11,123,11.2,11.1%,58%
69,Analyst_1468046,TWTR,Feb 10,11,147,13.4,18.4%,54%
70,Analyst_1468046,AMZN,Feb 3,10,89,8.9,21.8%,50%
71,Analyst_1468046,MU,Dec 20,9,109,12.1,11.9%,62%
72,Analyst_1468046,NLS,Feb 21,8,74,9.3,10.6%,57%
73,Analyst_1468046,IBM,Jan 24,8,88,11,2.7%,56%
74,Analyst_1468046,MSFT,Jan 27,8,87,10.9,4.6%,50%
75,Analyst_1468046,UAA,Feb 15,6,119,19.8,15.6%,63%
76,Analyst_1468046,SHAK,Feb 28,6,179,29.8,7.3%,76%
77,Analyst_1468046,NVDA,Feb 17,6,59,9.8,9.7%,58%
78,Analyst_1468046,PYPL,Feb 2,5,57,11.4,2.5%,56%
79,Analyst_1468046,ODP,Feb 23,5,26,5.2,8.8%,41%
80,Analyst_1468046,GPRO,Feb 3,5,121,24.2,22.0%,70%
81,Analyst_1468046,LULU,Dec 9,5,113,22.6,6.1%,69%
82,Analyst_1468046,SSYS,Mar 2,5,-2,-0.4,27.2%,34%
83,Analyst_1468046,BAC,Jan 18,5,73,14.6,5.3%,60%
84,Analyst_1468046,DIS,Feb 8,5,94,18.8,13.6%,61%
85,Analyst_1468046,NKE,Dec 20,5,25,5,8.9%,44%
86,Analyst_1468046,FCX,Jan 27,5,91,18.2,18.0%,61%
87,Analyst_1468046,AMD,Feb 1,4,-2,-0.5,23.4%,60%
88,Analyst_1468046,ALK,Jan 27,4,53,13.3,3.2%,44%
89,Analyst_1468046,CSCO,Feb 16,4,83,20.8,1.1%,61%
90,Analyst_1468046,DAL,Jan 18,4,42,10.5,3.9%,65%
91,Petr,SHAK,Feb 28,6,5,0.8,11.7%,18%
92,Petr,TSLA,Feb 2,3,10,3.3,37.9%,45%
93,Petr,TTD,Feb 17,2,30,15,15.2%,51%
94,Petr,COTY,Feb 10,2,-13,-6.5,17.5%,23%
95,Petr,NFLX,Jan 18,2,-5,-2.5,30.2%,35%
96,Petr,AAPL,Feb 1,2,48,24,1.6%,69%
97,Petr,TSN,Feb 10,1,-6,-6,18.4%,28%
98,Petr,SJM,Feb 23,1,-11,-11,4.0%,1%
99,Petr,JJSF,Jan 24,1,34,34,1.4%,63%
100,Petr,FLO,Feb 9,1,-6,-6,21.8%,53%
101,Petr,MDLZ,Feb 2,1,40,40,1.2%,89%
102,Petr,PEP,Feb 10,1,-31,-31,3.3%,1%
103,Petr,KO,Feb 9,1,-4,-4,4.5%,25%
104,Petr,MNST,Mar 2,1,-7,-7,16.4%,24%
105,Petr,HSY,Feb 3,1,10,10,2.3%,50%
106,Petr,MKC,Jan 27,1,-34,-34,3.3%,2%
107,Petr,NKE,Dec 20,1,21,21,5.3%,60%
108,Petr,CPB,Feb 18,1,19,19,5.8%,57%
109,Petr,F,Jan 27,1,4,4,6.8%,38%
110,Petr,DIS,Feb 8,1,-7,-7,6.9%,39%
111,Petr,IRBT,Feb 9,1,21,21,19.5%,55%
112,Petr,JACK,Feb 23,1,-15,-15,8.2%,2%
113,Petr,MCD,Jan 24,1,17,17,2.7%,47%
114,Petr,SBUX,Jan 27,1,-5,-5,2.2%,12%
115,Petr,RRGB,Mar 1,1,-32,-32,7.4%,0%
116,Petr,PZZA,Feb 22,1,-8,-8,5.8%,26%
117,Petr,TXRH,Feb 22,1,9,9,1.8%,48%
118,Petr,CAKE,Feb 23,1,11,11,0.7%,34%
119,Petr,KDP,Mar 3,1,-24,-24,2.7%,1%
120,Petr,WEN,Feb 24,1,-16,-16,9.1%,23%
121,Analyst_7077679,ANF,Mar 2,6,73,12.2,11.9%,56%
122,cms574,ORLY,Feb 9,1,9,9,0.5%,66%
123,cms574,DE,Feb 18,1,24,24,10.5%,54%
124,cms574,GOOGL,Feb 2,1,6,6,9.6%,46%
125,Analyst_9443238,BBY,Mar 2,1,25,25,3.0%,57%
126,Analyst_2299911,PYPL,Feb 2,4,-56,-14,7.2%,16%
127,zip159,FND,Feb 24,1,9,9,7.9%,65%
128,Analyst_76071,JNJ,Jan 25,10,28,2.8,1.8%,37%
129,Analyst_76071,UNH,Jan 18,10,217,21.7,1.7%,63%
130,Analyst_76071,ALK,Jan 27,9,-1,-0.1,11.4%,43%
131,Analyst_76071,ROST,Mar 1,8,247,30.9,1.2%,79%
132,Analyst_76071,NVDA,Feb 17,8,179,22.4,9.7%,77%
133,Analyst_76071,KDP,Mar 3,8,85,10.6,11.4%,38%
134,Analyst_76071,SWK,Jan 27,7,133,19,3.5%,70%
135,Analyst_76071,NOC,Jan 27,7,140,20,5.6%,68%
136,Analyst_76071,AMD,Feb 1,7,44,6.3,29.0%,49%
137,Analyst_76071,COST,Dec 9,7,98,14,3.2%,62%
138,Analyst_76071,HCA,Feb 1,7,88,12.6,3.2%,59%
139,Analyst_76071,DPZ,Feb 24,7,161,23,3.5%,73%
140,Analyst_76071,NFLX,Jan 18,6,19,3.2,16.5%,52%
141,Analyst_76071,SWBI,Mar 3,6,51,8.5,20.3%,40%
142,Analyst_76071,BKNG,Mar 2,6,136,22.7,2.7%,79%
143,Analyst_76071,XOM,Feb 1,6,42,7,11.3%,55%
144,Analyst_76071,NEE,Jan 28,6,9,1.5,6.0%,37%
145,Analyst_76071,A,Feb 15,6,135,22.5,4.2%,59%
146,Analyst_76071,ISRG,Jan 27,5,127,25.4,5.0%,91%
147,Analyst_76071,MU,Dec 20,4,93,23.3,2.8%,67%
