,Ticker,Name,Sector,Industry,Followers,Analysts
0,GNC,GNC Holdings Inc.,Consumer Discretionary,Specialty Retail,130,185
1,PAG,"Penske Automotive Group, Inc.",Consumer Discretionary,Specialty Retail,51,84
2,ABG,"Asbury Automotive Group, Inc.",Consumer Discretionary,Specialty Retail,47,84
3,SYX,Global Industrial Company,Consumer Discretionary,Specialty Retail,15,28
4,MNRO,"Monro, Inc.",Consumer Discretionary,Specialty Retail,58,162
5,HZO,Marinemax Inc,Consumer Discretionary,Specialty Retail,62,160
6,ORLY,O'Reilly Automotive Inc.,Consumer Discretionary,Specialty Retail,254,292
7,RCII,Rent-A-Center Inc.,Consumer Discretionary,Specialty Retail,68,162
8,HVT,Haverty Furniture Companies Inc.,Consumer Discretionary,Specialty Retail,24,45
9,MUSA,"Murphy USA, Inc.",Consumer Discretionary,Specialty Retail,6,5
10,AAN,"Aaron's, Inc.",Consumer Discretionary,Specialty Retail,47,114
11,GPI,Group 1 Automotive Inc.,Consumer Discretionary,Specialty Retail,30,54
12,SAH,Sonic Automotive Inc.,Consumer Discretionary,Specialty Retail,33,45
13,FND,"Floor & Decor Holdings, Inc.",Consumer Discretionary,Specialty Retail,31,47
14,CVNA,Carvana Co.,Consumer Discretionary,Specialty Retail,72,42
15,XOXO,XO Group Inc.,Consumer Discretionary,Specialty Retail,12,28
16,LL,"Lumber Liquidators Holdings, Inc.",Consumer Discretionary,Specialty Retail,169,266
17,CWH,Camping World Holdings Inc.,Consumer Discretionary,Specialty Retail,59,99
18,L,Loews Corporation,Consumer Discretionary,Specialty Retail,56,41
19,MED,Medifast Inc.,Consumer Discretionary,Specialty Retail,54,67
20,VSI,"Vitamin Shoppe, Inc.",Consumer Discretionary,Specialty Retail,54,111
21,TA,TravelCenters of America Inc.,Consumer Discretionary,Specialty Retail,23,48
22,FTD,"FTD Companies, Inc.",Consumer Discretionary,Specialty Retail,18,22
23,ODP,The ODP Corporation,Consumer Discretionary,Specialty Retail,66,109
24,PRTY,Party City Holdco Inc.,Consumer Discretionary,Specialty Retail,39,105
25,AAP,Advance Auto Parts Inc.,Consumer Discretionary,Specialty Retail,195,276
26,SBH,Sally Beauty Holdings Inc.,Consumer Discretionary,Specialty Retail,62,91
27,SQBG,Sequential Brands Group Inc,Consumer Discretionary,Specialty Retail,25,43
28,CRMT,"America's Car-Mart, Inc.",Consumer Discretionary,Specialty Retail,27,50
29,HD,"The Home Depot, Inc.",Consumer Discretionary,Specialty Retail,"1,398","1,807"
30,BKS,"Barnes & Noble, Inc.",Consumer Discretionary,Specialty Retail,103,218
31,LOW,Lowe's Companies Inc.,Consumer Discretionary,Specialty Retail,580,687
32,TJX,"The TJX Companies, Inc.",Consumer Discretionary,Specialty Retail,414,498
33,LB,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Retail,268,471
34,SCVL,Shoe Carnival Inc.,Consumer Discretionary,Specialty Retail,53,165
35,PLCE,"The Children's Place Retail Stores, Inc.",Consumer Discretionary,Specialty Retail,103,213
36,SSI,Stage Stores Inc.,Consumer Discretionary,Specialty Retail,36,71
37,CATO,Cato Corp.,Consumer Discretionary,Specialty Retail,25,33
38,ROST,Ross Stores Inc.,Consumer Discretionary,Specialty Retail,300,460
39,WSM,Williams-Sonoma Inc.,Consumer Discretionary,Specialty Retail,248,370
40,CAL,Caleres Inc,Consumer Discretionary,Specialty Retail,45,117
41,FL,"Foot Locker, Inc.",Consumer Discretionary,Specialty Retail,368,722
42,HIBB,"Hibbett Sports, Inc.",Consumer Discretionary,Specialty Retail,107,238
43,BKE,Buckle Inc.,Consumer Discretionary,Specialty Retail,68,146
44,URBN,Urban Outfitters Inc.,Consumer Discretionary,Specialty Retail,330,636
45,BBY,Best Buy Co. Inc.,Consumer Discretionary,Specialty Retail,658,826
46,DKS,Dick's Sporting Goods Inc.,Consumer Discretionary,Specialty Retail,298,588
47,ANF,Abercrombie & Fitch Co.,Consumer Discretionary,Specialty Retail,321,602
48,TIF,Tiffany & Co.,Consumer Discretionary,Specialty Retail,324,539
49,CHS,Chico's FAS Inc.,Consumer Discretionary,Specialty Retail,73,154
50,GPS,Gap Inc.,Consumer Discretionary,Specialty Retail,369,568
