,Ticker,Analyst,Value
0,GNC,Frederick Tremblay,0.12
1,GNC,Analyst_2229618,0.10
2,GNC,Buck_446488,0.17
3,GNC,Bill,0.09
4,GNC,Sentinel,0.08
5,GNC,Sean,0.05
6,GNC,ShaunO,0.04
7,PAG,Buck_138258,1.56
8,PAG,Buck_504550,1.56
9,PAG,"Michael Ward, CFA",1.57
10,PAG,JH839712,1.60
11,PAG,Sentinel,1.60
12,PAG,Bill,1.60
13,PAG,Frederick Tremblay,1.60
14,PAG,Stephanie Benjamin,1.62
15,ABG,Medic2525,2.38
16,ABG,Frederick Tremblay,2.32
17,ABG,Bill,2.29
18,ABG,Sentinel,2.28
19,ABG,Buck_138258,2.23
20,ABG,Stephanie Benjamin,2.17
21,ABG,"Bret Jordan, CFA",2.10
22,SYX,Sentinel,0.42
23,SYX,jean_acciari,0.44
24,SYX,Frederick Tremblay,0.38
25,SYX,Bill,0.31
26,MNRO,NM501169,0.69
27,MNRO,Neil_Martin,0.67
28,MNRO,Fernando Aldana,0.67
29,MNRO,JH839712,0.66
30,MNRO,dalton,0.66
31,MNRO,Analyst_9023061,0.66
32,MNRO,Bob S.,0.65
33,MNRO,ma73es,0.65
34,MNRO,Scott Hendricks,0.65
35,MNRO,larrylai,0.65
36,MNRO,Analyst_656238,0.65
37,MNRO,JacksonWeeks,0.65
38,MNRO,UcanQuote_me,0.65
39,MNRO,PCLA,0.65
40,MNRO,Rob Ford,0.65
41,MNRO,AetCap,0.65
42,MNRO,stevezim,0.65
43,MNRO,tradersergi,0.64
44,MNRO,Mark Connollly,0.64
45,MNRO,Bill,0.64
46,MNRO,Richard Wickstrom,0.64
47,MNRO,PM,0.64
48,MNRO,Frederick Tremblay,0.64
49,MNRO,Zilvinas Speteliunas,0.64
50,MNRO,hyperionives,0.63
51,MNRO,Eric,0.63
52,MNRO,Analyst_8626722,0.63
53,MNRO,SEE_Autonomy,0.63
54,MNRO,Ram,0.63
55,MNRO,bsears2386,0.63
56,MNRO,"Bret Jordan, CFA",0.62
57,MNRO,maggieb,0.62
58,MNRO,Michael Bertogli,0.62
59,MNRO,Roman Novacek,0.62
60,MNRO,tlm1tlm,0.62
61,MNRO,Mehrwert,0.62
62,MNRO,Ali Faghri,0.61
63,HZO,loopie,0.28
64,HZO,Michael Swartz,0.29
65,HZO,Sentinel,0.30
66,HZO,Mehrwert,0.30
67,HZO,UcanQuote_me,0.30
68,HZO,Bob S.,0.30
69,HZO,Analyst_2278908,0.31
70,HZO,Bill,0.31
71,HZO,Eric,0.31
72,HZO,Frederick Tremblay,0.31
73,HZO,Analyst_656238,0.32
74,HZO,Analyst_5795851,0.32
75,HZO,AAFED,0.32
76,HZO,hyperionives,0.33
77,HZO,tradersergi,0.33
78,HZO,Analyst_8626722,0.33
79,HZO,Michael Bertogli,0.33
80,HZO,Analyst_9958202,0.33
81,HZO,Rob Ford,0.33
82,HZO,Ram,0.33
83,HZO,Zilvinas Speteliunas,0.33
84,HZO,PCLA,0.33
85,HZO,tlm1tlm,0.34
86,HZO,AetCap,0.34
87,HZO,dalton,0.34
88,HZO,PM,0.34
89,HZO,Sean,0.34
90,HZO,BR604079,0.35
91,HZO,SM_Georg,0.35
92,HZO,Neil_Martin,0.36
93,HZO,maggieb,0.37
94,HZO,jfffrmm,0.38
95,HZO,SW928706,0.39
96,HZO,Scott Hendricks,0.39
97,ORLY,NM501169,4.43
98,ORLY,SW928706,4.43
99,ORLY,TV447703,4.59
100,ORLY,"Bret Jordan, CFA",4.60
101,ORLY,"Brian Nagel, CFA",4.63
102,ORLY,Analyst_9166593,4.65
103,ORLY,ShaunO,4.65
104,ORLY,Bill,4.67
105,ORLY,Analyst_2206610,4.67
106,ORLY,Bob S.,4.67
107,ORLY,Analyst_8084970,4.68
108,ORLY,Option46,4.68
109,ORLY,Aram Balian,4.69
110,ORLY,Sentinel,4.69
111,ORLY,Scott Hendricks,4.69
112,ORLY,gcreddy,4.69
113,ORLY,Frederick Tremblay,4.71
114,ORLY,Ram,4.71
115,ORLY,Analyst_8134075,4.71
116,ORLY,"MSShaalan_2Q19, CFA, FRM",4.20
117,RCII,Bill,0.61
118,RCII,Frederick Tremblay,0.59
119,RCII,Sentinel,0.57
120,RCII,TV447703,0.56
121,RCII,Analyst_33595,0.64
122,RCII,AlphaAnalyst,0.70
123,RCII,NM501169,0.21
124,HVT,Sentinel,0.28
125,HVT,Bill,0.26
126,HVT,Frederick Tremblay,0.24
127,AAN,Bill,0.90
128,AAN,Analyst_8082280,0.97
129,AAN,"William Chappell, Jr.",0.89
130,AAN,TV447703,0.89
131,AAN,Frederick Tremblay,0.89
132,AAN,Sentinel,0.89
133,AAN,NM501169,0.98
134,AAN,CC505328,0.98
135,AAN,ShaunO,0.87
136,GPI,"Michael Ward, CFA",2.82
137,GPI,skymile123,2.80
138,GPI,Buck_138258,2.77
139,GPI,Frederick Tremblay,2.77
140,GPI,Bill,2.76
141,GPI,Sentinel,2.75
142,GPI,Analyst_6105775,2.73
143,SAH,Sentinel,0.48
144,SAH,Bill,0.48
145,SAH,Frederick Tremblay,0.45
146,SAH,Buck_138258,0.44
147,SAH,"Bret Jordan, CFA",0.42
148,SAH,aaaa7777,0.42
149,FND,Joseph Feldman,0.31
150,FND,Analyst_80193,0.31
151,FND,Sentinel,0.31
152,FND,quietsubmarine,0.31
153,FND,Bill,0.31
154,FND,Fincrease,0.31
155,FND,Frederick Tremblay,0.31
156,XOXO,Bill,0.19
157,XOXO,Frederick Tremblay,0.19
158,XOXO,Mark Connollly,0.19
159,XOXO,mehdizare,0.18
160,XOXO,Darren Aftahi,0.17
161,XOXO,Analyst_2299911,0.15
162,LL,"Brian Nagel, CFA",0.08
163,LL,Analyst_5840956,0.08
164,LL,Bill,0.06
165,LL,Sentinel,0.09
166,LL,Frederick Tremblay,0.09
167,LL,Analyst_7458763,0.05
168,LL,Analyst_9656394,0.10
169,LL,Analyst_5650290,0.10
170,LL,DSivarajan,0.10
171,LL,Keith Hughes,0.01
172,LL,GregTripple,0.22
173,LL,Analyst_9351012,-0.10
174,LL,Blindcheck,0.27
175,CWH,Analyst_4716043,0.53
176,CWH,robert brand,0.59
177,CWH,Bill,0.60
178,CWH,Frederick Tremblay,0.61
179,CWH,BR604079,0.65
180,CWH,Bob S.,0.68
181,CWH,Sentinel,0.69
182,CWH,"Bret Jordan, CFA",0.72
183,CWH,SW928706,0.77
184,CWH,NR802552,0.77
185,CWH,Analyst_5840956,0.83
186,L,coffeepster,0.90
187,L,Bill,0.83
188,L,Frederick Tremblay,0.76
189,MED,Seandc37796,1.75
190,MED,Bill,1.76
191,MED,racerguy22,1.73
192,MED,Frederick Tremblay,1.73
193,MED,Analyst_8135424,1.72
194,MED,Sentinel,1.71
195,MED,Analyst_2715623,1.69
196,MED,bdarbe11,1.86
197,VSI,Bill,1
198,VSI,Sentinel,2
199,VSI,Frederick Tremblay,3
200,VSI,Analyst_5428700,4
201,TA,Frederick Tremblay,0.13
202,TA,Sentinel,0.90
203,TA,Bill,0.19
204,TA,Scott Hendricks,1.10
205,TA,Analyst_7003656,1.35
206,FTD,Sentinel,-0.15
207,ODP,Earnings AI,0.60
208,ODP,Malette,0.60
209,ODP,Sentinel,0.60
210,ODP,Analyst_4211172,0.60
211,ODP,Analyst_6644642,0.60
212,ODP,Bill,0.60
213,ODP,Analyst_8720742,0.50
214,ODP,Diligence_Fund,0.50
215,ODP,Analyst_1468046,0.50
216,ODP,Frederick Tremblay,0.50
217,ODP,Analyst_5539859,1.00
218,ODP,Analyst_7135984,0.30
219,PRTY,Joseph Feldman,0.36
220,PRTY,Analyst_4028083,0.38
221,PRTY,Analyst_1968944,0.38
222,PRTY,Bill,0.39
223,PRTY,Frederick Tremblay,0.39
224,PRTY,Sentinel,0.39
225,PRTY,Analyst_4714471,0.39
226,AAP,Szymon2000,1.98
227,AAP,NM501169,2.07
228,AAP,SW928706,2.07
229,AAP,TV447703,2.18
230,AAP,Analyst_8022521,2.18
231,AAP,"Brian Nagel, CFA",2.20
232,AAP,"MSShaalan_2Q19, CFA, FRM",2.20
233,AAP,Analyst_2206610,2.22
234,AAP,Analyst_3715541,2.22
235,AAP,Frederick Tremblay,2.23
236,AAP,Analyst_397314,2.23
237,AAP,Analyst_3642898,2.24
238,AAP,"Bret Jordan, CFA",2.25
239,AAP,Sentinel,2.25
