,Ticker,Reported_Earnings,Estimate_Consensus,Estimate_Mean,Wall_Street_Conses
0,GNC,-0.02,-0.04,-0.01,-0.02
1,PAG,1.42,1.37,1.42,1.41
2,ABG,2.33,2.43,2.35,2.35
3,SYX,0.36,0.40,0.41,0.40
4,MNRO,0.61,0.59,0.59,0.58
5,HZO,0.84,0.87,0.88,0.77
6,ORLY,5.08,4.78,4.76,4.76
7,RCII,0.47,0.52,0.46,0.50
8,HVT,0.31,0.37,0.38,0.37
9,MUSA,2.53, , , 
10,AAN,0.73,0.85,0.82,0.82
11,GPI,3.02,2.76,2.77,2.72
12,SAH,0.66,0.58,0.48,0.57
13,FND,0.27,0.26,0.27,0.27
14,CVNA,-0.56, , , 
15,XOXO,0.19,0.19,0.18,0.18
16,LL,0.08,0.20,0.19,0.20
17,CWH,0.14,0.17,0.32,0.28
18,L,0.74,0.76,0.77, 
19,MED,1.32,1.33,1.39,1.37
20,VSI,0,0.12,0.12,0.10
21,TA,0.23,1.15,1.17,1.29
22,FTD,, , , 
23,ODP,1.50,1.33,1.36,1.40
24,PRTY,-0.28,0.01,0.01,0
25,AAP,2.10,2.07,2.08,2.07
26,SBH,0.60,0.59,0.58,0.58
27,SQBG,-0.80,-0.75,1.33,-0.40
28,CRMT,1.55,1.06,1.02,1.02
29,HD,2.53,2.57,2.55,2.53
30,BKS,1.21,0.98,0.97,0.99
31,LOW,1.41,1.36,1.35,1.35
32,TJX,0.63,0.63,0.62,0.61
33,LB,0.02,0,0.04,0.04
34,SCVL,0.47,0.45,0.42,0.46
35,PLCE,3.03,2.97,3.03,3.04
36,SSI,-0.15,-0.73,-0.62, 
37,CATO,0.24, , , 
38,ROST,1.03,0.94,0.98,0.96
39,WSM,1.02,1.05,1.03,1.00
40,CAL,0.78,0.84,0.86,0.81
41,FL,1.13,1.07,1.06,1.08
42,HIBB,0.14,0.19,0.19,0.19
43,BKE,0.53,0.48,0.48,0.47
44,URBN,0.70,0.67,0.64,0.62
45,BBY,0.93,0.82,0.90,0.90
46,DKS,0.52,0.40,0.39,0.38
47,ANF,0.23,0.25,0.26,0.25
48,TIF,0.65,0.87,0.87,0.85
49,CHS,-0.04,-0.05,-0.02,-0.06
50,GPS,0.53,0.51,0.51,0.55
